spa,guc
el esta soltero,mawayuuseshi niakai müinma
el es muy rapido,kaalapüshatashi niakai
es muy amable,kamaneeshatashi niakai
el es muy amable,kamaneeshatashi niakai
el es muy alto,miyo'usenü niakai
acaba de llegar,ee'waiya nia antüin
el siguio cantando,ayatshi nia ee'irajüin
el seguia hablando,ayatshi niakai yootüin
le gusta disney,kamalainsü nümüin disney
le gusta correr,kamalainsü nümüin awalawaa
parecia joven,jima'aipükai naa'in
el se ve triste,ja'yasüü noo'u aka mojuin naa'in
el parece fuerte,katsüinkai naa'in
le encanta el cafe,asüishaata nia kepein
adora los trenes,nü'waajüin türenkalu'u
le encantan los trenes,kamalainsü ma'in nümüin türenkalu'u
el ama los trenes,nücheküin ma'in türenkalu'u
le gustan los trenes,kamalainsü türenkalu'u nümüin
el construyo un robot,nükumaain niakai wanee robot
le hizo llorar,ni'yalajirüin niakai
el me hizo cantar,ee'irajüshi taya nütuma
el puede estar alla,eesü süpüla chain niakai
el puede que no venga,eesü süpüla nnojoluin nüntüin niakai
el lo menciono,waapa achiki pia nütuma
el juega futbol,ashaittushi nia fultbol
el me presiono,nainku aa'in taya
no dijo nada,nnojotsü kasa nusoktüin
el canto desafinado,mojusu nütuma ni'irain
el vio a la muchacha,ni'rüin majayutka niakai
vio a la ni a,ni'rüin jintutka niakai
el parece honesto,pansaa aa'in niakai
el se ve hambriento,ouktakai naa'in jamü
el vende whisky,aikkashi niakai whisky
el tiene tendencia a mentir,ale'eyaa niakai süpüla aküjaa alawaa
el camina despacio,jayatta'a akua niakai
estaba haciendo trampa,aainjüshi niakai türampa
el estaba hablando,aashajapüshi niakai
el estaba parado,sha'watüshi niakai paala
el estaba de pie,sha'watüshi niakai paala
el fue a pescar,o'unushi niakai olojüin jime
el fue a nara,o'unushi niakai naramüin
el tambien ira,ja'itaichi niakai o'unuinjachi
sobrevivira,kateechi o'u
el llevaba gafas,ko'usepüshi niakai
el escribe libros,ashajüi karaloukta niakai
escribe libros,ashajüi karaloukta
el es un mal mentiroso,matüjainsai aküjaa alawaa niakai
el miente mal,matüjainsai aküjaa alawaa niakai
el es comediante,eme'erajüi niakai
el es jardinero,o'yotooi nia wunu'ulia
es un buen hombre,wayuu anashi niakai
el es de primera,pansaa akuwa'ipa niakai
esta muerto de cansancio,ouktapünashi niakai sutuma pamüsawaaka
se esta quedando calvo,mo'i müshi ne'e
el es su amigo,na'aleewain niakai chira
el es amigo de ella,niakai sa'aleewain shiaka
el es amable conmigo,kamaneeshi niakai tamüin
el es mi marido,tawayuuseshi niakai
el no es un heroe,nnojoishi toolo aa'in niakai
el no es estupido,nnojoishi malain niakai
no es estupido,nnojoishi malain
ya viene,iseeichi
esta realmente enfadado,alüsaa joolu'u ashichishaatashi
el esta muy despierto,kataa o'ushaatashi niakai
su rostro se ilumino,kawaralashaatashi no'upüna
su padre murio,ouktüshi nüshii
ella tiene el cabello seco,jososü ma'in sü'walaka
aca estoy otra vez,anii taya antüin tachukua'a
aqui esta el mapa,anü maapaka
aqui esta mi album,anii anülijaapala tamüinka
aqui esta tu bolsa,anü takatto'ui
esta es tu llave,shia püyaaweinka tüü
coge esto,paapaa tüü
toma coge esto,anü paapaa tüü
ten pruebatelo,na pu'ulaka pünain
eh yo te conozco,ate te'rajüin pia
hola que tal,jaman jamayaa paa'in
hola como estas,jaman jamayaa paa'in
hola que tal estas,jaman jamayaa paa'in
su identificacion era falsa,tü pükaralouktashe nnojotsü pansain
su palabra es ley,tü pünüikika kojutusu
espere por favor,pa'atapaja analu'ut saa'u
los caballos corren rapido,tü amakalirua kawachirasü ma'in
que tal a las,jama maka
como estan todos,jamayaa jia japüshua'a
como estais ahora,jamayaa pia müinma yaa
como estas ahora,jamayaa pia joolu'u
que alto eres,miyo'usenuu ma'in pia
que grande eres,miyo'u ma'in pia
como puede ser,jamüinjatü maka shia
como murio tom,jamakuwa'ipachi ouktüin tom
como empezamos,jameerü süpüla o'ttain waa'in
como lo hacemos,jameerü sükuwa'ipa watuma
como te sientes,jamayaa paa'in
como te encuentras,jamüirü paa'in
como se siente,jamajaa paa'in
como os sentis,jamayaa pia
como se sienten,jamayaa paa'in
como lo sabes,jamüsü pütüjaaka saa'u
que fascinante,anakatchen ma'in
que interesante,watüjee amüin saa'u
como estan todos,jamayaa jia japüshua'a
como esta tu padre,jamayaa naa'in püshikai
que edad tienes,jeraa pu'uyashe
que grosero,kashüülakai paa'in
como de peque o es,jamüsü sa'ajapüin sünain jo'uuchon shia
que desafortunado,mülliakatchen paa'in
como terminara,jameerü saja'ttapa
como esta tom,jamayaa naa'in tom
como estan todos,jamayaa naa'in napüshua'a
como anda tu resfriado,jamayaa saa'in pushunuishe
como esta tu mujer,jamayaa saa'in püwayuushi
apurensen muchachas,kakua jia majayütnu
me duele todo,aisü tanain supüshua'a
casi lo hago,taa'inrataijee
soy un buen tipo,wayuu anashi taya
soy un buen ni o,jintüi anashi taya
hoy estoy ocupado,so'ika'i küpaashi taya
hoy estoy ocupada,so'uka'i küpaasü taya
soy de espa a,taya chejewalu'u epaainya
soy de tokio,taya chejewai tokio
estoy en problemas,kaainjalashi taya
no tengo miedo,nnojoishi taya mmoluin eema
no estoy asustado,nnojoishi taya kamüsheein
no estoy comiendo,nnojoishi taya eküin
me estoy desvistiendo,aakatüsü taya tashe'in
me estoy quitando la ropa,aakatüsü taya tashe'in
me estoy desnudando,amaichejaasü taya
me estoy sacando la ropa,taakatüin tashe'in
estoy muy cansado,mapüsajaasü taa'in
me comi la manzana,teküin tü mansaanaka
me mordi la lengua,tojottuin tü tayeeka
reserve un lugar,takatalüin wanee ano'ui
compre un libro,tayalajüin wanee karaloukta
me quebre la espalda,ashataasü tasapü
llame a tom,tounekain tom
la llame,teenajüin shiaka
lo llame,teenajüin nia
me lo puedo permitir,eesü süpüla taa'inrüin
puedo permitirmelo,eesü taa'inrüin
puedo regresar,eesü süpüla tale'ejüin
lo puedo hacer ahora,eesü süpüla taa'inrüin joolu'u
puedo apa armelas,eesü süpüla tanaatüin
puedo cantar bien,eesü süpüla tee'irajüin anain
yo puedo nadar rapido,eeshi kawachirain taya sünain ashuunaja
se nadar bien,atüjashi taya ashuunaja anain
no lo aguanto,nnojotsü taapüin taa'in sümaa
no puedo soportarlo,nnojotsü taapüin taa'in sümaa
no puedo respirar,isasü tachiki asanalaa taa'in
no lo puedo sentir,isasü tachiki taapain saa'in
no puedo encontrarlo,nnojotsü tantaa anain
no puedo rendirme,nnojotsü süpüla too'ulainjatü
no puedo volver,nnojotsü süpüla touyantai
no puedo ir a casa,nnojotsü süpüla to'unuin miichipamüin
no lo puedo oir,nnojotsü taapajüin
no puedo oirlo,nnojotsü taapajüin
no puedo evitarlo,nnojotsü süpüla motüin taa'in
no te lo puedo permitir,nnojoleechi too'ulain paainjüin
no puedo hacerlo,isasü tachiki taainjüin
no puedo ver a tom,nnojotsü süpüla te'rüinchi tom
no puedo verte,nnojoishi te'rüinjachi pia
no puedo veros,nnojoishi te'rüinjachi pia
no puedo verle,nnojoishi te'rüinjachi nia
no puedo verlos,nnojoishi te'rüinjachi jia
no puedo deshacerlo,nnojotsü süpüla
me resfrie,shunuijaashi taya
pille un resfriado,taapaain wanee shunui
capture una anguila,tata'ülüin wanee ankiila
cogi una anguila,tata'ülüin wanee ankiila
me acobarde,mmoluujasü taa'in
cocine la cena,ta'lakajaain tü eküülüka
no podria parar,nnojotsü süpüla tasha'walainjachi
no pude parar,iseerü tachiki tasha'walain
no podia caminar,isasü tachiki waraittaa
me corte el dedo,tashottuin sejepira tajapü
lo hice bien,anasü tü taainjalaka
lo hice yo,taya kaainjalakai
lo hice perfectamente,anashaatasü tatuma
no escuche,nnojotsü taapajüin
no lo he dicho,nnojotsü tamajüin tia
no lo vi,nnojotsü te'rüin
lo hago mucho,wainmatua taa'inrüin
claro que lo entiendo,aja tatüjaaipa aa'u
si que lo entiendo,aa tatüjaaipa aa'u
si que lo comprendo,aa tütüjaaipa saa'u
ya lo he pillado,te'rüichipa nia
no lo necesito,nnojotsü cho'ujaain tamüin
no lo veo,nnojotsü te'rüin
no te veo,nnojoishi te'rüin pia
me seque la cara,toosojüin to'upünaa
me gusta mucho leer,kamakainshaatasü tamüin aashaje'eraa
hui de la muerte,a'luwataashi taya suulia aouktaaka
alimente a las cabras,tekirüin na kaa'ulakalirua
me siento traicionada,emeejünaakai taa'in
estoy febril,tuttusu taa'in
me siento impotente,üttusu taa'in
me siento desamparado,temüiwakai taa'in
me siento indefenso,temüiwashi taa'in
me siento inutil,nnojorüleesu kasa anain apüla taya
extra o mi hogar,mojusu taa'in süchiirua tepiaka
me siento aliviado,anaichipa taya
me siento fatal,mojusu ma'in taa'in
me sentia excluido,mojusu taa'in sutuma akatajünüin taya
me senti rechazado,mojusu taa'in sutuma ayouktunuin taya
me senti rechazado,ayouktunushi taya natuma
olvide mi llave,motusu taa'in tayaaweinka
olvide mi pluma,motusu taa'in tako'okiishajia
encontre mi libro,tantaa anain takaralouktashe
me levanto a las seis,atamaashi taya maka aippiruapuna
me queme con el sol,jotüshi taya sutuma ka'ika
me toste con el sol,jotüshi taya sutuma ka'ika
supongo que esta bien,anataashi müshi taya
lo adivine correctamente,tashantajüin anain
acerte,shiaaya
tenia mis dudas,nnojoishiaaje taya anoujain sumaa
no tuve opcion,nnojorüleesü kasa taapain
no tenia dudas,anoujashi taya sumaa
tuve que renunciar,too'ulain tü ta'yatainka
odio pelear,ta'ürülasü atkawaaka
detesto pelear,nnojotsü tacheküin atkawaaka
odio el futbol,ta'ürülasü tü futbolka
odio la politica,ta'ürülasü tü politikaka
odio los mapaches,ta'ürülasü tü mapachekalu'u
odio a los reptiles,ta'ürülasü na jaatükalu'u
odio estudiar,ta'ürülasü tü ekirajawaaka anain
odio los tomates,ta'urülasü tü tomatekalu'u
tengo barbita de chivo,süliima kaa'ula taya
tengo una manzana,eesü tama'ana wanee mansaana
tengo malas noticias,aapitshi taya kasa mojusu
tengo caspa,kaapasü ta'walaka
tengo tarea,ka'yatainshi taya
no tengo fiebre,nnojoishi tuttuin taya
no tengo un duro,nnojotsü kasa eein tama'ana ee chechein
no tengo dinero,nnojotsü neerü tama'ana
estoy sin dinero,matneetseshi taya
no tengo un centimo,nnojorüleesü eein sentimo tama'ana
no tengo un mango,nnojotsü monku tama'ana
he vuelto,ale'ejüshi taya
volvi,ale'ejüshi taya
tengo diez lapiceras,eesü poolo ko'ikiishajia tama'ana
tengo diez boligrafos,eesü poolo ko'ikiishajia tama'ana
tengo que apurarme,acheküshi kakuain taya
tengo dos automoviles,eesü piama e'ejetü tama'ana
tengo dos coches,eesü piama e'ejetü tama'ana
tengo dos gatos,piama muusa tama'ana
tengo dos trabajos,piama a'yatawa tama'ana
yo solo te escucho,taapüin ne'e pünüiki
oigo los tambores,taapüin tü kaashika
he oido gritar a alguien,taapüin sikiisa wanee wayuu
espero que te sirva,kasaataalejese e anain tü ta'apaka müin
espero que llueva,ta'atapajüin ne'e a'itüin juyaka
me lastime el codo,tasaalirain tü tasatalaka
me imagine eso,shia tia müshi taya
sigo estornudando,ayatüshi taya ashoujain
sabia que ganariamos,tatüjaa aa'u wakanajüinjatü
se que tom mintio,tatüjaa aa'u aka chi tom aküjüshi naalain
yo se todo eso,tatüjaa aa'u supüshua'a
se todo eso,tatüjaa aa'u tia
la conozco bien,te'raajashaatüin shiaka
yo la conozco bien,te'raajüin shiaka
conozco su nombre,te'raajüin sünüliaka
se como se llama,tatüjaa aa'u kasain sünülia
se cual es su nombre,tatüjaa aa'u jamüin sünüliaka
se que duele,aisü tia tatüjaa aa'u
se que esta caliente,ja'isü tia tatüjaa aa'u
conozco a la chica,te'raajüin majayutka
los conozco a todos,te'raajüin naya napüshua'a
aprendi mucho,wainma tatüjaaka müinma
me gustan los dibujos animados,kamalainsü tamüin tü ejeerüjuushika ayaakuwaa
me gustan las caricaturas,kamalainsü tamüin tü ejeerüjuushika
me gusta la escalada,kamalainsü tamüin tü aliikajawaaka
me agrada hacerlo,kamalainsü tamüin tü taa'inraka
me gusta mi casa,tacheküin tü tepiaka
me gustan los coches viejos,kamalainsü tamüin tü e'ejetüka laaülaayu
me gusta dormir,tacheküin atunkaa
me gusta nadar,kamalainsü tamüin ashuunaja
me gusta ense ar,tacheküin ekirajaa
me gusta ese perro,kamalainsü tamüin erükai chira
me gusta aquel perro,kamalainsü tamüin erükai chisa
me gusta ese trabajo,kamalainsü tamüin a'yatawaaka tia
me gusta aquella corbata,kamalainsü tamüin kurwaataka tusa
me agrada el frio,tacheküin tü jemiaka
me gusta el calor,tacheküin tü walatshika
me gustan todos,kamalainsü tamüin supüshua'a
me gusta esta taza,kamalainsü tamüin iitaka tüü
me gusta este perro,kamalainsü tamüin erükai chii
me gusta bailar,kamalainsü tamüin oyonnojowaaka
me gusta tu automovil,kamalainsü tamüin tü pe'ejenaka
me gusta su coche,kamalainsü tamüin tü pe'ejenaka
me gusta tu coche,kamalainsü tamüin tü pe'ejenaka
me gusta su gato,kamalainsü tamüin pumuusainkai
me gusta vuestro perro,kamalainsü tamüin chi pümülüinkai erükai
me gusta tu corbata,kamalainsü tamüin pükorwatain
vivo en japon,kepiashi taya japon
mire a mi alrededor,pünaajaa ta'ato'upüna
mire a tom,pi'raka nümüin tom
perdi las ganas,amülouisü taa'in sünain
perdi mi reloj,amülouisü ka'iyaawatia tamüinka
perdi el juego,amülouishi taya sünain tashittaka anain
perdi la partida,amülouishi taya sünain tashittaaka anain
adoro las comedias,ta'waajüin tü asirajapalaka
adoro las berenjenas,ta'waajüin tü werenjeenaka
me encantan las berenjenas,kamalainsü tamüin werenjeenaka
adoro aprender,ta'waajüin tü ekirajawaaka anain
me encanta la idea,kamalainsü tamüin tü pikiiruka
amo este auto,aisü tapüla tü e'ejena tüü
me encanta este trabajo,kamalainshaatasü tamüin tü a'yatawaaka tüü
me encanta bailar,kamalainsü oyonnajaaka tamüin
yo amo festejar,tacheküin ma'in tü mi'iraka
me encanta ense ar,kamalainsü tamüin ekirajaaka
me gusta escribir,kamalainsü tamüin ashajaa
me encanta escribir,tacheküin ma'in ashajaa
me encantan los casamientos,kamalainsü tamüin tü kasaatka
me encantan las bodas,kamalainsü tamüin kasaatkalirua
las amo a las dos,aisü tapüla na piamaleeyan
los amo a los dos,aishi tapüla na piamaleeyan
los quiero a ambos,aishi piamaleeyan tapüla
las quiero a ambas,aisü piamaleeyan tapüla
tambien te amo,eeshi pia alin tapüla
me gusta tu coche,kamalainsü pe'ejenaka tamüin
me encanta tu coche,kamalainsü pe'ejenaka tamüin
amo a tu hijo,aisü püchonkai tapüla
yo hice aquel,takumajalan chisa
no quise herir a nadie,nnojotsü tachajaalain tauwomuyuwaa saa'u wayuu
hoy he conocido a tom,te'raajüichipa tom so'uka'i
tom te echo de menos,tom mojusu taa'in püchiirua
debo de estar ciego,mo'uuichipa taya saa'in tamüin
tengo que encontrar a tom,acheküshi tantaa anain tom
debo encontrarlo,acheküshi tantaa anain tom
debo ir alla,acheküshi to'unuin chamüin
tengo que ayudarla,acheküshi takaaliijüin shia
debo ayudarlo,takaaliijüinjachi nia
debo obedecer a tom,acheküshi toonoin nümaa tom
tengo que decirselo a tom,acheküshi taküjain achiki nümüin tom
debo advertirle,taapirüinjachi
necesito internet,cho'ujaasü internet tamüin
necesito un doctor,cho'ujaasü wanee tottolu tamüin
necesito una escalera,cho'ujaasü wanee kaleera tamüin
necesito un abogado,cho'ujaashi wanee pütchipu'u tamüin
necesito un lapiz,cho'ujaashi wanee laapi tamüin
necesito una ducha,cho'ujaasü wanee o'oojulee tamüin
necesito un pa uelo,cho'ujaasü wanee kuluula tamüin
necesito un arma,cho'ujaasü wanee a'apüla tamüin
necesito su ayuda,cho'ujaasü pükaaliijai taya
necesito mis pastillas,cho'ujaasü tawunu'use tamüin
necesito uno mas,cho'ujaasü wanee soo'omüin
necesito una mas,cho'uyaasü wanee soo'omüin
necesito unas tijeras,cho'ujaasü wanee palousa tamüin
necesito a alguien,cho'ujaasü wanee wayuu tamüin
necesito ese empleo,cho'ujaasü wanee a'yatawaa tapüla
necesito entrar,cho'ujaasü tekerotuin
tengo que afeitarme,cho'ujaasü taüjaain taliima
necesito dormir,cho'ujaasü tatunkai
te necesito aqui,cho'ujaasü pia tamüin ya'aya
no lo hago nunca,nnojotsü taa'inrüin weinshi
nunca me rindo,nnojotsü tapüttuin
no me rindo nunca,nnojotsü tapüttuin müin ne'e
nunca dije que no,nnojoishi nnojo müin taya
no te he visto nunca,nnojoipüshi te'rüin pia yaapüna
yo le veo a menudo,te'rüin niakai weinshi
solo necesito a tom,nia ne'e cho'ujaaka tom tamüin
solo quiero a tom,cho'ujaashi ne'e tom tamüin
pedi pizza,achuntushi pizza taya
le burle,teme'erainpalashi
le debo dinero a tom,kojuyaalashi taye neerü nuulia tom
pague mis cuentas,tawalaajüin tü tojuyaalakalirua
pague la cuenta,tawalaajüin tü achuntunaka
juego al beisbol,ashaittushi taya beisbol
juego al futbol,ashaittushi taya fulbol
juego en el campo,ashaittui taya sulu'u anoupalaka
toco el bajo,atalejui taya waajo
toco el arpa,atalejui taya arpa
juego con el,ashaitteechi taya nümaa
jugaba al futbol,ashaittapüshi taya futbol
yo jugue al tenis,emi'ijapüshi taya tenis
yo jugaba al tenis,emi'ijapüshi taya tenis
prefiero ir en bicicleta,tachekaka wanee o'otowaa
me puse a cubierto,taainmajüin takuwa'ipa
corri a refugiarme,awataashi taya ounjulain
yo competi para alcalde,ayoujiraashi taya nümaa aluuwataakai sulu'u alijunapiapa'a
sone la campana,kepijanüsü tatuma kanpanaka
sone la campanilla,kepijanüsü tatuma kanpaanachonka
leo una carta,aashaje'etshi taya wanee karalo'uta
estoy leyendo una carta,aashaje'etshi taya wanee karalo'uta
he leido una carta,taashaje'erüipa wanee karalo'uta
lei una carta,taashaje'erüipa wanee karalo'uta
lei su libro,taashe'erüipa pükaraloutasee
leo el libro,taasha'erüin wanee karaloukta
me lei el libro,taashaje'erapüin wanee karaloukta
lo reconozco,tayaawatüin
yo confiaba en el,ataralapüshi taya nümaa
conte con el,ataralajüshi ne'e taya nüma
me acuerdo de ellos,jülüjüshi naya taa'in
me acuerdo de ellas,jülüjüsü naya taa'in
corro todos los dias,awataashi taya waneepia
volvi a sentarme,aikkalaashi taya tachükua'a
me sente otra vez,aikkalaashi taya tachükua'a
vi a tom reirse,te'rüin tom asirajüin
vi irse a tom,te'rüin tom no'unaiwa
vi a tomas desnudo,te'rüichi tomas maichein
hoy he visto a tom,te'rüichi tom so'uka'i
la vi nuevamente,te'rüin shiaka suchükua'a
la volvi a ver,te'rüin shiaka suchükua'a
volvi a encontrarme con el,tapanapajüin niakai suchükua'a
le vi nuevamente,te'rüin suchükua'a
yo lo vi primero,taya e'rakai palajana
le he visto desnudo,te'rüichi nia maichein
te vi en la tele,te'rüin pia sulu'upüna teleka
yo veo su casa,te'rüin miichika yaaje
veo la corona,te'rüin püralo'uka
estoy viendo la corona,te'rüin püralo'uka müinma yaa
veo a la reina,te'rüin reinaka
sacudi mi cabeza,to'otojüin tü tekiika
dormi todo el dia,atunküshi taya ka'ika supüshua'a
hablo ingles,yootüshi inküleenaiki taya
estudio ingles,ekirajaashi taya sünain inküleenaiki
hable con tom,yootüshi taya nümaa tom
le hable a ella,aashajaashi taya sümaa
creo que esta bien,anashii saa'in tamüin
yo tambien lo creo,ja'itaichi taya oonoshi taya sümaa
me arriesgue,too'ulaka aa'in
estoy totalmente de acuerdo,oonoshi taya sümaa tia
yo trate de ayudar,too'ulaküin takaaliijain
trate de esconderme,too'ulaküin tounjulain
lo entiendo,tayaawataa aa'ulu'u
lo comprendo,tatüjaaipa aa'u
vote por tom,taneekalakai tom
despierto temprano,achijiraashi taya maali
quiero un doctor,tacheküin wanee tottolu
quiero un dolar,tacheküin wanee toolarü
quiero una familia,kapüsheeshi taya
quiero tener un amigo,kaleewainjeeshi taya
quiero un abogado,cho'ujaashi tamüin wanee pütchiipu'u
quiero una devolucion,ale'ejüneesü tamüin
quiero evidencias,cho'ujaasü ee'iyatünüin tamüin
quiero pruebas,cho'ujaasü ee'iyatünüin tamüin
quiero a mi mama,cho'ujaasü teika tamüin
quiero mi plata,cho'ujaasü taneetse tamüin
quiero mis cosas,cho'ujaasü takoroloin tamüin
quiero esa bolsa,cho'ujaasü wanee katto'ui tamüin
quiero aquella bolsa,tacheküin katto'uika tüsa
quiero ese trabajo,tacheküin a'yatawaaka tia
quiero aquel,tacheküin chisa
quiero lo mejor,anasüka tachekaka
quiero este gato,tacheküin muusakai chii
quiero bailar,oyonnajeesü taa'in
quiero conducir,amanejaweeshi taya
quiero manejar,amanejaweeshi taya
quiero aprender,atüjeesü taa'in
me quiero ir,o'uneesü taa'in
quiero hablar,aashaweesü taa'in
quise llorar,a'yalajeesü taa'in
quise pagar,awalajeesü taa'in
yo era profesor,ekirajüipüshi taya
yo era profesora,ekirajüipüsü taya
yo estaba en el colegio,chajachi taya koleejiapüna
naci aqui,jemeishi taya ya'aya
estaba preocupado,nnojotsü ashapatüin taa'in
estaba preocupada,nnojotsü ashapatüin taa'in tayaka
yo estaba indignado,nnojorüleesü tacheküin müinka saa'in
fui despedido,ojotünüshi ta'yataapüle
estaba extenuado,mapüsaashi taya
estaba impresionada,ponosü taa'in süka
estuve en boston,chajachi taya boston
estaba escuchando,chajachi aapajüin
no estaba borracho,nnojoishi nia eperüin
yo no estaba borracho,nnojoipünaashi taya eperüin
estaba petrificado,mo'oopünaashi taya
quede satisfecho,keraaleeshi taya
era esceptico,nnojoishi anoujain sünain
me sorprendio,ponojaasü taa'in sünain
yo era demasiado peque o,jo'uuchonpü'üshi taya sümaiwa
yo era muy peque o,motsopü'üshi taya sümaiwa
no fui honesto,nnojotsü taküjain shiimüinka
fui de compras,chajachi taya ayalajüin
seguire,ayateechi taya
voy a las,o'uneechi taya maka
yo te ayudare,takaaliijaweechi pia
te voy a extra ar,mojujeerü taa'in püchiirua
te echare de menos,mujeerü taa'in püchiirua
os echare de menos,mojujeerü taa'in püchiirua
yo te detendre,tata'üleechi pia
lo mirare,te'irakaweechi amüin
le deseo suerte,kasaataalejese'e anain pukuwa'ipa
no lo negare,nnojoleechi taya ji'iyeein saa'u
no lo voy a negar,nnojotsü tounjulaa achiki
no me voy a ir,nnojoleechi taya o'unuin
no voy a leerlo,nnojoleerü taashaje'erüin
trabajo con el,a'yataashi taya nümaa
no me importaria,nnojoleerü kojutüin tamüin
estaria agradecido,talateechi taya pümaa
lo volveria a hacer,eesü süpüla taa'inrüin suchükua'a
lo haria otra vez,eesü taa'inrüin suchükua'a
quisiera un tenedor,keireesü taa'in wanee tenetoorü
prefiero leer,tachekaka aashaje'eraa
preferiria quedarme,tachekaka makatüin taya
prefiero quedarme,tachekaka makataa
preferiria caminar,tacheküin waraittaa
yo permitire esto,to'ulaweerü alatüin tia
voy a permitir esto,to'ulaweerü alatüin tüü
lo arreglare,tanoukteerü
voy a arreglarlo,tanouktee amüin
preguntare por ahi,asakiraweechi taya chapünaya
voy a preguntar por ahi,asakiraweechi taya chapünaya
te voy a ayudar,takaaliijaweechi pia
yo te ayudo,takaaliijeechi pia
estare contento,talateechi taya
con placer,taa'inrerü sümaa anain taa'in
sera un placer,taa'inrerü sümaa anain taa'in
sere paciente,jimateechi taya
estare presente,yaleechi taya
estare esperando,yaleechi taya a'atapajüin
voy a estar trabajando,yaweechi taya a'yatain
traere vino,asaajüinjachi taya wiino paala
comprare un ford,ayalajüinjachi taya wanee ford
llamare mas tarde,ounakeechi taya mapeena
vendre como a las,anteechi taya maka sain
dare lo mejor,taapüinjatü tü anaka akuwa'ipa
ire en taxi,o'uneechi taya sulu'u wanee taxi
ire a hacer eso,to'unai taa'inrüin tia
dejare ir a tom,too'ulaweechi no'unui tom
lo buscare,tachajaweechi
pagare el doble,ayalajeechi taya piantua
yo lo pagare,tawalajeerü
pagare por ello,tawalajeerü naupüna
te premiare,ta'waajeechi pia
te recompensare,asülajaweechi taya pümüin
voy a dormir aca,atunküinjachi taya ya'aya
me quedare cerca,makateechi taya pejee pünain
lo entendere,tatüjaweerü aa'u
lo comprendere,toonoweerü amaa
soy el tio de tom,nülaüla tom taya
soy cristiano,küristiana taya
estoy un poco cansada,eesiaaje taya mapüsain
soy carpintero,a'yatai taya sümaa wunu'u
soy maderero,akotchajüi wunu'u taya
soy detective,achajai taya kasa ounluwaaushi
soy un buen cocinero,jemetüsü weinshi tü ta'lakajainka
soy buena para cocinar,atüjasü taya a'lakajawaa
soy un hombre feliz,talatüshi taya weinshi
soy salvavidas,o'tte'erai taya wayuu
soy un masoquista,ka'atai ma'i taya
soy un ave nocturna,wane wuchii ajuittui sa'wai taya
yo soy policia,pulusiia taya
puedo correr,eesü süpüla tawataain
se esquiar,atüjashi taya awataa saa'u niewe
estoy casi listo,kettaweechi taya joolu'u
estoy casi lista,keraweerü taya joolu'u
estoy casi listo,kettaweechi taya joolu'u
casi he terminado,aja'tteechi taya joolu'u
estoy casi segura,pansaweerü taya joolu'u
siempre estoy atrasado,apünaanüshi taya weinshi
soy ingeniero,ingeniero taya
soy un ingeniero,ingeniero taya
soy optimista,anoujushi ma'i taya sünain takuwa'ipa
estoy en el banco,anii taya wankolu'u
ahora estoy en el trabajo,anii taya müinma yaa sulu'u ta'yataain
soy consciente de ello,tatüjaa aa'u müin sukuwa'ipa
estoy enterado de ello,tatüjaaipa aa'u süchikü
te estoy suplicando,tachuntashaatüin müin
te estoy implorando,tachuntashaatüin müin
te estoy llamando,touneküin pia
estoy comprendiendo,toono amaa
soy daltonico,mujaa o'u süpüla e'raa ano'uu
estoy comodo,anashii taya ya'aya
estoy comoda,anasü taya ya'aya
voy de vuelta,ouyantaashi taya tachükua'a
vuelvo a casa,ale'ejushi taya tepialu'umüin
me carcajeo,asirajashaatashi taya
estoy indefenso,ma'apülashii taya
estoy comiendo aqui,ekaashi taya ya'aya
estoy avergonzado,japüishi taya müinma
soy extrovertida,meimalainshi taya
me siento mal,mojusu taa'in
soy de boston,anii taya bostonpüna
estoy friendo pescado,ajüriichijüshi taya jime
me estoy haciendo viejo,alaülajaashi taya müinma
voy a ir,o'uneechi taya
estoy ayudando a tom,takaaliijüin tom müinma
estoy ayudando,akaaliijaashi taya
te estoy ayudando,takaaliijain pia müinma
estoy en apuros,apüle'eruanüshi taya
estoy en un aprieto,apüle'eruanüshi taya
no llevo prisa,nnojoishi taya ashapajaain
estoy en la ba adera,anii taya oo'ojüin
estoy buscando trabajo,achajaashi taya a'yatawaa
solo pregunto,asakitshi ne'e taya
solo bromeo,eme'erajüshi ne'e taya
voy saliendo,ee'waiya taya ajuittuin
ya me voy,o'unaa tamüin müinma
soy zurdo,epe'e atüna niakai
hoy es mi dia,takalia so'uka'i
hoy tengo suerte,aneerü takuwa'ipaka so'uka'i
me falta uno,cho'ujaasü waneeshi tamüin
soy mi propio jefe,alaülaashi taya saa'u ta'yatainka
soy miope,kalechesü to'u
soy nuevo en esto,jekechi taya sünain tü maaka
no estoy preocupado,nnojotsü ashapatüin taa'in
no estoy segura,nnojotsü pansain taa'in
no soy gallina,nnojotsü kaliinain taya
no soy celosa,nnojotsü kachumaraliin taya
no estoy bromeando,nnojoishi taya eme'erajain
no estoy casado,nnojoishi taya kasaaliin
no estoy casada,nnojotsü taya kasaalu'uin
no estoy nervioso,nnojoishi ashapatüin taya
no tengo paciencia,nnojorüleesü süpüla jimatüin taa'in
no soy perfecta,nnojoishi taya anashaatain
ahora no estoy triste,nnojotsü mojuin taa'in müinma
no voy en serio,shiimüin nnojolüinjachi taya o'unuin
no estoy tan seguro,nnojotsü panshaatüin taa'in
no soy especial,nnojoishi taya anashaatain
